unique_city,city,country,lat,lng
'Ain Temouchent_NaN_Ain Temouchent_DZ,'Ain Temouchent,DZ,35.292896970116,-1.1421538244484
'Ain el Hadjar_NaN_Saida_DZ,'Ain el Hadjar,DZ,34.457253951008,0.091369312934858
10 de Abril_Acapulco de Juarez_Guerrero_MX,10 de Abril,MX,16.82439671247,-99.716370005784
A i Afjord_Afjord_Sor-Trondelag_NO,A i Afjord,NO,64.044988188084,10.040555591359
AElvdalen_Alvdalens Kommun_Dalarna_SE,AElvdalen,SE,61.362865894161,13.531905353653
AElvkarleby_Alvkarleby Kommun_Uppsala_SE,AElvkarleby,SE,60.510218796864,17.430562954024
Aasiaat_NaN_Qaasuitsup_GL,Aasiaat,GL,69.254132091408,-53.538932753814
Abadan_NaN_Ahal_TM,Abadan,TM,38.106414313334,58.107090061838
Abalak_NaN_Tjumen_RU,Abalak,RU,58.462768979564,68.501460425133
Abapo_NaN_Santa Cruz_BO,Abapo,BO,-18.664813674759,-63.239587541498
Aberchirder_Aberdeenshire_Scotland_GB,Aberchirder,GB,57.56633439516,-2.5936652844964
Aberdeen_Monroe County_Mississippi_US,Aberdeen,US,33.897559216144856,-88.59621020369441
Abernathy_Lubbock County_Texas_US,Abernathy,US,33.728067547855,-101.84181992841
Abidjan_NaN_Lagunes_CI,Abidjan,CI,5.2662363971767,-3.9867205494729
Abilene_Taylor County_Texas_US,Abilene,US,32.423447167832,-99.800901217358
Abra Pampa_NaN_Jujuy_AR,Abra Pampa,AR,-22.785233527137,-65.703945847701
Abraham's Bay_NaN_Mayaguana_BS,Abraham's Bay,BS,21.832203916401,-72.32501894199
Abramow_Powiat lubartowski_Lublin Voivodeship_PL,Abramow,PL,51.462504115943,22.33776905296
Abrau-Dyurso_NaN_Krasnodarskiy_RU,Abrau-Dyurso,RU,44.7059300662395,37.630691141723055
Absecon_Atlantic County_New Jersey_US,Absecon,US,39.458487555454,-74.509497552816
Abu Dhabi_NaN_Abu Dhabi_AE,Abu Dhabi,AE,24.239969439171,54.745328349528
Abuja_NaN_Abuja Federal Capital Territory_NG,Abuja,NG,8.9974221021116,7.4069361780355
Abzakovo_NaN_Bashkortostan_RU,Abzakovo,RU,53.620287273359,58.701653742626
