city,country,lat,lng
Amsterdam,Netherlands,52.365211,4.885029
Athens,Greece,37.981539,23.727577
Barcelona,Spain,41.395911,2.154801
Berlin,Germany,52.508186,13.396657
Birmingham,United Kingdom,52.480910,-1.903111
Brussels,Belgium,50.848144,4.367917
Budapest,Hungary,47.505156,19.070161
Copenhagen,Denmark,55.679119,12.560362
Dublin,Ireland,53.343334,-6.264887
Edinburgh,United Kingdom,55.953816,-3.196323
Frankfurt,Germany,50.117669,8.665393
Geneva,Switzerland,46.206904,6.142215
Gothenburg,Sweden,57.699939,11.977342
Helsinki,Finland,60.183333,24.956937
Istanbul,Turkey,41.017613,29.044966
Kraków,Poland,50.065936,19.977981
Lisbon,Portugal,38.728060,-9.147618
London,United Kingdom,51.522822,-0.084352
Madrid,Spain,40.429662,-3.697000
Manchester,United Kingdom,53.479550,-2.248089
Marseille,France,43.291300,5.388886
Milan,Italy,45.469994,9.184684
Moscow,Russia,55.763507,37.635771
Munich,Germany,48.142407,11.565309
Naples,Italy,40.853891,14.258911
Nice,France,43.702442,7.272292
Oslo,Norway,59.920940,10.754985
Paris,France,48.864313,2.343111
Porto,Portugal,41.153666,-8.618074
Prague,Czech Republic,50.076230,14.444882
Rome,Italy,41.895027,12.486836
Rotterdam,Netherlands,51.919621,4.482261
St. Petersburg,Russia,59.950203,30.324787
Stockholm,Sweden,59.327519,18.062164
Valencia,Spain,39.468156,-0.370311
Venice,Italy,45.438398,12.343217
Vienna,Austria,48.207545,16.378662
Warsaw,Poland,52.236696,21.014502
Zurich,Switzerland,47.375297,8.535300
