city,country,lat,lng
Athens,Greece,37.979217,23.718017
Birmingham,United Kingdom,52.468262,-1.892374
Brussels,Belgium,50.842022,4.364969
Copenhagen,Denmark,55.681144,12.566184
Edinburgh,United Kingdom,55.954254,-3.210609
Florence,Italy,43.779483,11.251160
Glasgow,United Kingdom,55.865366,-4.262639
Helsinki,Finland,60.196474,24.946699
Istanbul,Turkey,41.020050,28.941179
Krakow,Poland,50.057594,19.948459
Lisbon,Portugal,38.729390,-9.140553
Moscow,Russia,55.761573,37.610692
Munich,Germany,48.139737,11.561102
Oslo,Norway,59.918879,10.771933
Paris,France,48.855900,2.350142
Porto,Portugal,41.157055,-8.612691
Rome,Italy,41.889909,12.519669
Saint Petersburg,Russia,59.935528,30.316963
Stockholm,Sweden,59.335846,18.058090
Valencia,Spain,39.471795,-0.372981
Vienna,Austria,48.213932,16.367601
